Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000590868	Heliornis fulica	54369	13523		Unknown	Metazoa	Chordata	Aves	Gruiformes	Heliornithidae	Heliornis	Heliornis fulica
UP000591073	Glaucidium brasilianum	78217	14183		Unknown	Metazoa	Chordata	Aves	Strigiformes	Strigidae	Glaucidium	Glaucidium brasilianum
UP000591535	Grallaria varia	117165	13896		Unknown	Metazoa	Chordata	Aves	Passeriformes	Formicariidae	Grallaria	Grallaria varia
UP000593565	Ameiurus melas	219545	24332		Unknown	Metazoa	Chordata	Actinopteri	Siluriformes	Ictaluridae	Ameiurus	Ameiurus melas
UP000593571	Rousettus aegyptiacus	9407	60832		Unknown	Metazoa	Chordata	Mammalia	Chiroptera	Pteropodidae	Rousettus	Rousettus aegyptiacus
UP000603297	Pteruthius melanotis	357074	11955		Unknown	Metazoa	Chordata	Aves	Passeriformes	Timaliidae	Pteruthius	Pteruthius melanotis
UP000603627	Calcarius ornatus	198940	13652		Unknown	Metazoa	Chordata	Aves	Passeriformes	Fringillidae	Calcarius	Calcarius ornatus
UP000604080	Dryoscopus gambensis	85069	12293		Unknown	Metazoa	Chordata	Aves	Passeriformes	Malaconotidae	Dryoscopus	Dryoscopus gambensis
UP000606274	Silurus meridionalis	175797	22753		Unknown	Metazoa	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus meridionalis
UP000611227	Ramphastos sulfuratus	322582	14017		Unknown	Metazoa	Chordata	Aves	Piciformes	Ramphastidae	Ramphastos	Ramphastos sulfuratus
UP000611277	Certhia familiaris	73333	13143		Unknown	Metazoa	Chordata	Aves	Passeriformes	Certhiidae	Certhia	Certhia familiaris
UP000613066	Penelope pileata	1118817	13915		Unknown	Metazoa	Chordata	Aves	Galliformes	Cracidae	Penelope	Penelope pileata
UP000614027	Campylorhamphus procurvoides	190295	14067		Unknown	Metazoa	Chordata	Aves	Passeriformes	Dendrocolaptidae	Campylorhamphus	Campylorhamphus procurvoides
UP000614263	Chloropsis cyanopogon	1218682	12540		Unknown	Metazoa	Chordata	Aves	Passeriformes	Irenidae	Chloropsis	Chloropsis cyanopogon
UP000618051	Lamprotornis superbus	245042	14245		Unknown	Metazoa	Chordata	Aves	Passeriformes	Sturnidae	Lamprotornis	Lamprotornis superbus
UP000618746	Spizella passerina	40210	9048		Unknown	Metazoa	Chordata	Aves	Passeriformes	Passerellidae	Spizella	Spizella passerina
UP000619137	Sula dactylatra	56068	12940		Unknown	Metazoa	Chordata	Aves	Suliformes	Sulidae	Sula	Sula dactylatra
UP000620207	Larus smithsonianus	243888	14049		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus smithsonianus
